Typ usługi,Rodzaj usługi (Budżet),Odległość,Termin wykonania,Opis zadania,Link do zdjęcia
Dentystyczna,Standard ($$),29 km,2026-02-04,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Florystyczna,Budget ($),15 km,2026-02-18,Wiązanka okolicznościowa,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),30 km,2026-02-02,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),14 km,2026-02-06,Malowanie salonu 30m2,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),15 km,2026-02-03,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),19 km,2026-01-21,Pranie dywanów metodą ekstrakcyjną,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),18 km,2026-01-19,Przeprowadzka całego mieszkania,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Elektryczna,Standard ($$),27 km,2026-02-10,Podłączenie piekarnika elektrycznego,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Florystyczna,Budget ($),22 km,2026-02-07,Bukiet tulipanów z dostawą,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),17 km,2026-02-19,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
IT i Grafika,Budget ($),18 km,2026-02-13,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),29 km,2026-03-03,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),6 km,2026-03-09,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Premium ($$$),10 km,2026-01-24,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),24 km,2026-01-20,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),25 km,2026-01-15,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),22 km,2026-02-24,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),9 km,2026-03-01,Przegląd stomatologiczny i czyszczenie,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),10 km,2026-03-05,Mycie okien w całym domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),1 km,2026-01-19,Warsztaty z układania lasu w słoiku,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),9 km,2026-02-04,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Florystyczna,Budget ($),19 km,2026-01-15,Bukiet tulipanów z dostawą,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),15 km,2026-01-30,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),7 km,2026-02-10,Naprawa spłuczki podtynkowej,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),12 km,2026-01-25,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),19 km,2026-01-16,Wymiana akumulatora z dojazdem,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),21 km,2026-01-14,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),13 km,2026-02-20,Kompleksowe wykończenie łazienki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),25 km,2026-01-14,Przeprowadzka całego mieszkania,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Ogrody i Tereny Zielone,Premium ($$$),20 km,2026-02-12,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),21 km,2026-02-17,Oprawa kwiatowa pogrzebu,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),25 km,2026-02-24,Sezonowa wymiana opon,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Florystyczna,Budget ($),11 km,2026-03-10,Bukiet tulipanów z dostawą,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),12 km,2026-02-23,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),14 km,2026-03-08,Sprzątanie po imprezie okolicznościowej,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),18 km,2026-02-22,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Standard ($$),2 km,2026-01-26,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),11 km,2026-02-06,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),26 km,2026-02-17,Czyszczenie elewacji domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),22 km,2026-02-22,Montaż sufitu podwieszanego,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),6 km,2026-01-31,Konsultacja ortodontyczna,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),13 km,2026-02-10,Podłączenie pralki,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),4 km,2026-01-21,Pranie dywanów metodą ekstrakcyjną,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),27 km,2026-01-26,Wstawienie implantu zębowego,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),5 km,2026-01-20,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),1 km,2026-02-02,Zaprojektowanie logo i identyfikacji,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),8 km,2026-02-13,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),9 km,2026-03-05,Leczenie kanałowe jednego kanału,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),19 km,2026-02-15,Instalacja systemu Windows i sterowników,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),12 km,2026-02-15,Wstawienie implantu zębowego,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),20 km,2026-02-15,Wywiezienie odpadów zielonych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),2 km,2026-02-06,Tynkowanie dekoracyjne jednej ściany,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),30 km,2026-02-02,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),19 km,2026-02-09,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),28 km,2026-02-27,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),20 km,2026-01-19,Leczenie kanałowe jednego kanału,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),17 km,2026-02-24,Opryski przeciw szkodnikom,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),2 km,2026-01-31,Przycinanie żywopłotu,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),25 km,2026-01-19,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Sprzątająca,Standard ($$),1 km,2026-01-28,Regularne sprzątanie biura,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),27 km,2026-03-03,Mycie witryny sklepowej (mała),https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),18 km,2026-01-19,Montaż gniazdek i włączników,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),21 km,2026-02-27,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),1 km,2026-02-07,Przycinanie żywopłotu,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),23 km,2026-02-22,Kompleksowe wykończenie łazienki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),13 km,2026-02-01,Flowerbox na urodziny,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),30 km,2026-01-25,Usunięcie kamienia nazębnego (skaling),https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),20 km,2026-01-23,Wywiezienie odpadów zielonych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),10 km,2026-02-16,Wiercenie otworów w betonie pod półki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),23 km,2026-01-30,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),9 km,2026-01-13,Wypełnienie światłoutwardzalne,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),2 km,2026-01-26,Wymiana uszczelki w kranie kuchennym,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),13 km,2026-02-04,Regularne sprzątanie biura,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),17 km,2026-02-17,Regularne sprzątanie biura,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),19 km,2026-02-04,Wywiezienie odpadów zielonych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),12 km,2026-01-28,Przeprowadzka całego mieszkania,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Premium ($$$),13 km,2026-02-02,Dekoracja kwiatowa sali bankietowej,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),18 km,2026-02-23,Pomiary elektryczne instalacji,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),27 km,2026-01-30,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),30 km,2026-01-26,Naprawa zerwanego kabla zasilającego,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),30 km,2026-02-17,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),12 km,2026-02-10,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),2 km,2026-03-02,Podłączenie płyty indukcyjnej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),21 km,2026-01-12,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),20 km,2026-01-11,Montaż gniazdek i włączników,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),8 km,2026-02-03,Skuwanie starych płytek,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),20 km,2026-02-23,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),30 km,2026-01-28,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),16 km,2026-02-10,Transport materiałów budowlanych,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Premium ($$$),30 km,2026-02-15,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),6 km,2026-02-12,Oprawa kwiatowa pogrzebu,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),25 km,2026-03-03,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),2 km,2026-02-14,Przycinanie żywopłotu,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),28 km,2026-02-02,Wybielanie zębów,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),14 km,2026-02-14,Tynkowanie dekoracyjne jednej ściany,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),18 km,2026-03-05,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),29 km,2026-02-09,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),26 km,2026-01-29,Opryski przeciw szkodnikom,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),12 km,2026-02-19,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),14 km,2026-01-20,Pozycjonowanie strony lokalnej (SEO),https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),21 km,2026-03-04,Podłączenie płyty indukcyjnej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),30 km,2026-01-25,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),9 km,2026-01-23,Kompleksowe wykończenie łazienki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),5 km,2026-01-11,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),12 km,2026-02-26,Usunięcie kamienia nazębnego (skaling),https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),12 km,2026-02-22,Kompleksowy detailing wnętrza,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),14 km,2026-03-04,Flowerbox na urodziny,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),13 km,2026-03-10,Transport materiałów budowlanych,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Standard ($$),7 km,2026-02-05,Kompozycja kwiatowa na recepcję,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),1 km,2026-03-10,Naprawa oświetlenia LED,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),11 km,2026-03-11,Instalacja systemu Windows i sterowników,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),14 km,2026-01-20,Naprawa błędu w sklepie online,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),14 km,2026-02-02,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),15 km,2026-01-21,Pozycjonowanie strony lokalnej (SEO),https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),17 km,2026-02-08,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),10 km,2026-01-16,Warsztaty z układania lasu w słoiku,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),18 km,2026-02-23,Budowa ścianki działowej z płyt G-K,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),11 km,2026-01-15,Budowa ścianki działowej z płyt G-K,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),25 km,2026-01-11,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),8 km,2026-03-05,Montaż domofonu w domu jednorodzinnym,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),10 km,2026-02-13,Wymiana olejów i filtrów,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),6 km,2026-02-02,Pielęgnacja roślin w biurze,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),11 km,2026-01-29,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),7 km,2026-02-25,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Sprzątająca,Standard ($$),21 km,2026-02-02,Mycie okien w całym domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),30 km,2026-02-13,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),21 km,2026-03-08,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),17 km,2026-02-20,Gruntowne sprzątanie po remoncie,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),6 km,2026-02-28,Gruntowne sprzątanie po remoncie,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),14 km,2026-02-11,Montaż kabiny prysznicowej,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),24 km,2026-01-16,Wstawienie implantu zębowego,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),24 km,2026-01-31,Pielęgnacja roślin w biurze,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),18 km,2026-02-04,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),26 km,2026-01-23,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Elektryczna,Premium ($$$),27 km,2026-02-24,Wymiana skrzynki bezpiecznikowej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),4 km,2026-02-11,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),14 km,2026-01-26,Przycinanie żywopłotu,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),29 km,2026-01-16,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),6 km,2026-03-11,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),12 km,2026-01-13,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),3 km,2026-01-30,Naprawa zerwanego kabla zasilającego,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),24 km,2026-02-17,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Budget ($),20 km,2026-01-13,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Standard ($$),12 km,2026-03-10,Wywóz starych mebli,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Budget ($),9 km,2026-02-02,Przewóz szafy (sam kierowca),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Ogrody i Tereny Zielone,Premium ($$$),23 km,2026-01-22,Budowa tarasu drewnianego,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),6 km,2026-02-14,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Premium ($$$),11 km,2026-03-05,Kompleksowy detailing wnętrza,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),21 km,2026-03-08,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),21 km,2026-01-26,Polerowanie zmatowiałych reflektorów,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),29 km,2026-01-26,Opryski przeciw szkodnikom,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),8 km,2026-02-15,Instalacja ogrzewania podłogowego,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),8 km,2026-02-26,Oprawa kwiatowa pogrzebu,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),30 km,2026-01-17,Strona wizytówka na WordPress,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),6 km,2026-02-05,Sprzątanie po imprezie okolicznościowej,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
